Customer ID,last_purchase,frequency,total_spend,recency_days,churn_risk,churned,churn_probability
12346.0,2011-01-18 10:01:00,12,207.4,325,High,1,0.19496714912266
12347.0,2011-12-07 15:52:00,8,644.16,1,Low,0,0.3330194284682122
12348.0,2011-09-25 13:13:00,5,193.1,74,Medium,0,0.4952619064402455
12349.0,2011-11-21 09:51:00,4,1480.44,18,Low,0,0.4901749509686795
12350.0,2011-02-02 16:01:00,1,65.3,309,High,1,0.6901807638807502
12351.0,2010-11-29 15:23:00,1,49.46,374,High,1,0.6907589727238808
12352.0,2011-11-03 14:37:00,10,1408.71,35,Low,0,0.22720024229621483
12353.0,2011-05-19 17:47:00,2,63.08,203,High,1,0.646072883290192
12354.0,2011-04-21 13:11:00,1,261.22,231,High,1,0.6829802437711311
12355.0,2011-05-09 13:49:00,2,107.43,213,High,1,0.6443388809206659
12356.0,2011-11-17 08:40:00,6,450.25,22,Low,0,0.4347748229781126
12357.0,2011-11-06 16:07:00,3,1834.31,32,Low,0,0.5249235630580114
12358.0,2011-12-08 10:26:00,5,413.34,1,Low,0,0.4858614141945356
12359.0,2011-10-13 12:47:00,10,2691.55,57,Medium,0,0.19103572251606918
12360.0,2011-10-18 15:22:00,8,696.13,51,Medium,0,0.33105076545252826
12361.0,2011-02-25 13:51:00,4,112.25,286,High,1,0.5484421796114577
12362.0,2011-12-06 15:40:00,11,1178.29,2,Low,0,0.20031041538252845
12363.0,2011-08-22 10:18:00,2,53.17,109,High,1,0.6464598231970995
12364.0,2011-12-02 10:22:00,4,162.37,7,Low,0,0.5463213062306697
12365.0,2011-02-21 14:04:00,2,377.31,290,High,1,0.6337066316110839
12366.0,2010-03-16 10:28:00,1,5.07,633,High,1,0.6923761626841607
12367.0,2011-12-05 16:48:00,1,35.2,3,Low,0,0.6912789965080346
12368.0,2010-03-21 15:56:00,1,79.05,627,High,1,0.689678363770832
12369.0,2010-10-22 13:13:00,3,292.85,412,High,1,0.589779700930967
12370.0,2011-10-19 14:51:00,7,692.01,50,Medium,0,0.3767865159223627
12371.0,2011-10-26 10:16:00,5,665.9300000000001,44,Low,0,0.4750928299264725
12372.0,2011-09-29 12:12:00,3,156.07,71,Medium,0,0.5954197372745894
12373.0,2011-02-01 13:10:00,3,236.0,310,High,1,0.5921268332923814
12374.0,2011-11-14 15:37:00,4,288.72,24,Low,0,0.5409673942043443
12375.0,2011-11-29 10:36:00,2,117.52000000000001,10,Low,0,0.6439438493420997
12376.0,2010-11-15 12:15:00,2,104.4,389,High,1,0.6444574695070422
12377.0,2011-01-28 15:45:00,4,416.52,314,High,1,0.5355424067454633
12378.0,2011-08-02 10:34:00,2,1017.41,129,High,1,0.6079787675273313
12379.0,2011-09-19 10:09:00,4,235.55,81,Medium,0,0.5432216268843213
12380.0,2011-11-18 11:27:00,11,2740.82,21,Low,0,0.1609425239990799
12381.0,2011-12-05 12:44:00,5,407.44,4,Low,0,0.48611314290726904
12383.0,2011-06-08 08:02:00,5,305.61,184,High,1,0.49045881103443134
12384.0,2011-11-11 08:39:00,2,212.74,28,Low,0,0.6402063171884268
12385.0,2010-11-25 15:14:00,1,239.25,378,High,1,0.6837921538031607
12386.0,2011-01-06 12:37:00,2,45.72,337,High,1,0.6467505851542836
12387.0,2010-10-20 16:27:00,1,24.86,414,High,1,0.6916557655972579
